,url
0,https://www.allrecipes.com/recipe/222972/beer-batter-coconut-shrimp/
1,https://www.allrecipes.com/recipe/73634/colleens-slow-cooker-jambalaya/
2,https://www.allrecipes.com/recipe/213656/amazing-crusted-chicken/
3,https://www.allrecipes.com/recipe/8722/mexican-chicken-i/
4,https://www.allrecipes.com/recipe/8101/mandarin-orange-cake-i/
5,https://www.allrecipes.com/recipe/13076/bacon-and-potato-soup/
6,https://www.allrecipes.com/recipe/143546/lemon-souffle-cheesecake-with-blueberry-topping/
7,https://www.allrecipes.com/recipe/11901/to-die-for-fettuccini-alfredo/
8,https://www.allrecipes.com/recipe/214491/mushroom-melt-stuffed-chicken/
9,https://www.allrecipes.com/recipe/11731/shrimp-fra-diavolo/
10,https://www.allrecipes.com/recipe/219963/creamy-mushroom-meatloaf/
11,https://www.allrecipes.com/recipe/178430/cabbage-and-smoked-sausage-pasta/
12,https://www.allrecipes.com/recipe/229110/savory-beef-stir-fry/
13,https://www.allrecipes.com/recipe/256095/stefs-slow-cooker-creme-brulee/
14,https://www.allrecipes.com/recipe/223042/chicken-parmesan/
15,https://www.allrecipes.com/recipe/221131/baked-buffalo-chicken-dip/
16,https://www.allrecipes.com/recipe/83500/sausage-stuffed-jalapenos/
17,https://www.allrecipes.com/recipe/157940/outrageous-warm-chicken-nacho-dip/
18,https://www.allrecipes.com/recipe/239969/no-bake-energy-bites/
19,https://www.allrecipes.com/recipe/68461/buffalo-chicken-dip/
20,https://www.allrecipes.com/recipe/15184/mouth-watering-stuffed-mushrooms/
21,https://www.allrecipes.com/recipe/216756/baked-ham-and-cheese-party-sandwiches/
22,https://www.allrecipes.com/recipe/241114/microwave-sweet-potato-chips/
23,https://www.allrecipes.com/recipe/245429/no-bake-energy-balls/
24,https://www.allrecipes.com/recipe/189930/southern-pimento-cheese/
25,https://www.allrecipes.com/recipe/38425/dip-for-the-stars/
26,https://www.allrecipes.com/recipe/176957/baked-kale-chips/
27,https://www.allrecipes.com/recipe/256752/awesome-crispy-baked-chicken-wings/
28,https://www.allrecipes.com/recipe/13456/stuffed-celery/
29,https://www.allrecipes.com/recipe/237491/loaded-queso-fundido/
30,https://www.allrecipes.com/recipe/246256/bacon-jalapeno-popper-puffs/
31,https://www.allrecipes.com/recipe/51147/super-nachos/
32,https://www.allrecipes.com/recipe/14231/guacamole/
33,https://www.allrecipes.com/recipe/235595/how-to-make-perfect-hard-boiled-eggs/
34,https://www.allrecipes.com/recipe/24087/restaurant-style-buffalo-chicken-wings/
35,https://www.allrecipes.com/recipe/14064/easy-guacamole/
36,https://www.allrecipes.com/recipe/187822/baked-chicken-wings/
37,https://www.allrecipes.com/recipe/166638/baked-buffalo-wings/
38,https://www.allrecipes.com/recipe/99211/perfect-sushi-rice/
39,https://www.allrecipes.com/recipe/200657/crab-rangoon/
40,https://www.allrecipes.com/recipe/241000/mini-philly-cheesesteaks/
41,https://www.allrecipes.com/recipe/237835/big-rays-mexican-monkey-bread/
42,https://www.allrecipes.com/recipe/22617/best-spinach-dip-ever/
43,https://www.allrecipes.com/recipe/231170/baked-crab-and-artichoke-dip/
44,https://www.allrecipes.com/recipe/234476/cheesy-burrito-game-day-dip/
45,https://www.allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/
46,https://www.allrecipes.com/recipe/139012/jalapeno-popper-spread/
47,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/
48,https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/
49,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/
50,https://www.allrecipes.com/recipe/19673/seven-layer-taco-dip/
51,https://www.allrecipes.com/recipe/14939/brown-sugar-smokies/
52,https://www.allrecipes.com/recipe/71722/asian-lettuce-wraps/
53,https://www.allrecipes.com/recipe/14830/hummus-iii/
54,https://www.allrecipes.com/recipe/13838/sugar-coated-pecans/
55,https://www.allrecipes.com/recipe/17753/coconut-shrimp-i/
56,https://www.allrecipes.com/recipe/81298/playgroup-granola-bars/
57,https://www.allrecipes.com/recipe/15206/cocktail-meatballs/
58,https://www.allrecipes.com/recipe/69919/bacon-wrapped-smokies/
59,https://www.allrecipes.com/recipe/25502/southwestern-egg-rolls/
60,https://www.allrecipes.com/recipe/256753/irish-soda-bread-muffins/
61,https://www.allrecipes.com/recipe/241419/potato-scones/
62,https://www.allrecipes.com/recipe/222204/chef-johns-poached-eggs/
63,https://www.allrecipes.com/recipe/162760/fluffy-pancakes/
64,https://www.allrecipes.com/recipe/241106/breakfast-casserole-in-a-slow-cooker/
65,https://www.allrecipes.com/recipe/221987/honeymoon-eggs-benedict/
66,https://www.allrecipes.com/recipe/229150/cheesy-amish-breakfast-casserole/
67,https://www.allrecipes.com/recipe/216391/easy-sausage-gravy-and-biscuits/
68,https://www.allrecipes.com/recipe/221261/peanut-butter-banana-smoothie/
69,https://www.allrecipes.com/recipe/219967/chef-johns-banana-bread/
70,https://www.allrecipes.com/recipe/229780/baked-denver-omelet/
71,https://www.allrecipes.com/recipe/256959/bacon-tater-egg-cups/
72,https://www.allrecipes.com/recipe/55409/monte-cristo-sandwich-the-real-one/
73,https://www.allrecipes.com/recipe/246512/puff-pastry-waffles/
74,https://www.allrecipes.com/recipe/259473/maple-apple-turkey-sausage/
75,https://www.allrecipes.com/recipe/256989/herb-sausage-and-cheese-dutch-baby/
76,https://www.allrecipes.com/recipe/23315/turkish-style-eggs/
77,https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/
78,https://www.allrecipes.com/recipe/16383/basic-crepes/
79,https://www.allrecipes.com/recipe/22180/waffles-i/
80,https://www.allrecipes.com/recipe/57722/austrian-pancake/
81,https://www.allrecipes.com/recipe/7016/french-toast-i/
82,https://www.allrecipes.com/recipe/257968/chilaquiles/
83,https://www.allrecipes.com/recipe/45396/easy-pancakes/
84,https://www.allrecipes.com/recipe/261547/chorizo-breakfast-tacos-with-potato-hash-and-eggs/
85,https://www.allrecipes.com/recipe/262168/russian-cheese-pancakes-syrniki/
86,https://www.allrecipes.com/recipe/254281/chef-johns-bacon-and-asparagus-dutch-baby/
87,https://www.allrecipes.com/recipe/36397/florida-strawberry-muffins/
88,https://www.allrecipes.com/recipe/198723/asparagus-potato-and-onion-frittata/
89,https://www.allrecipes.com/recipe/246832/strawberry-blintzes/
90,https://www.allrecipes.com/recipe/20935/french-toast-souffle/
91,https://www.allrecipes.com/recipe/245260/breakfast-pita-pizza/
92,https://www.allrecipes.com/recipe/6820/downeast-maine-pumpkin-bread/
93,https://www.allrecipes.com/recipe/6698/moms-zucchini-bread/
94,https://www.allrecipes.com/recipe/6984/banana-sour-cream-bread/
95,https://www.allrecipes.com/recipe/16895/fluffy-french-toast/
96,https://www.allrecipes.com/recipe/24530/buttermilk-pancakes-ii/
97,https://www.allrecipes.com/recipe/17036/pumpkin-pancakes/
98,https://www.allrecipes.com/recipe/20513/classic-waffles/
99,https://www.allrecipes.com/recipe/20876/crustless-spinach-quiche/
100,https://www.allrecipes.com/recipe/236602/chef-johns-corned-beef-hash/
101,https://www.allrecipes.com/recipe/44045/irish-coffee/
102,https://www.allrecipes.com/recipe/20096/cheesy-ham-and-hash-brown-casserole/
103,https://www.allrecipes.com/recipe/16664/spinach-quiche/
104,https://www.allrecipes.com/recipe/20334/banana-pancakes-i/
105,https://www.allrecipes.com/recipe/6815/monkey-bread-i/
106,https://www.allrecipes.com/recipe/6862/pumpkin-bread-iv/
107,https://www.allrecipes.com/recipe/15057/overnight-blueberry-french-toast/
108,https://www.allrecipes.com/recipe/9247/christmas-breakfast-sausage-casserole/
109,https://www.allrecipes.com/recipe/20934/baked-french-toast/
110,https://www.allrecipes.com/recipe/26133/cream-cheese-cut-outs-ii/
111,https://www.allrecipes.com/recipe/7284/irish-cream-chocolate-cheesecake/
112,https://www.allrecipes.com/recipe/240601/real-pistachio-cupcakes/
113,https://www.allrecipes.com/recipe/240978/valentine-conversation-heart-cookies/
114,https://www.allrecipes.com/recipe/143667/brookes-best-bombshell-brownies/
115,https://www.allrecipes.com/recipe/8333/banana-cake-vi/
116,https://www.allrecipes.com/recipe/25642/white-chocolate-raspberry-cheesecake/
117,https://www.allrecipes.com/recipe/236915/lemon-buttermilk-pound-cake-with-aunt-evelyns-lemon-glaze/
118,https://www.allrecipes.com/recipe/232799/chef-johns-lemon-bars/
119,https://www.allrecipes.com/recipe/25787/coconut-macaroons-iii/
120,https://www.allrecipes.com/recipe/230649/5-minute-microwave-nutella-cake/
121,https://www.allrecipes.com/recipe/212429/red-velvet-cupcakes/
122,https://www.allrecipes.com/recipe/104493/stuffed-strawberries/
123,https://www.allrecipes.com/recipe/8169/marble-swirl-pound-cake/
124,https://www.allrecipes.com/recipe/12101/grandmas-butterscotch-pie/
